Police_Region,LGA_crime,CP_2012,CP_2013,CP_2014,CP_2015,CP_2016,CP_2017,CP_2018,CP_2019,CP_2020,CC_2012,CC_2013,CC_2014,CC_2015,CC_2016,CC_2017,CC_2018,CC_2019,CC_2020
4 Western, Northern Grampians,-84.0,-90.0,-103.0,-133.0,-74.0,-53.0,-87.0,-29.0,2.0,-133.0,29.0,14.0,114.0,125.0,-94.0,-78.0,0.0,72.0
4 Western, Hepburn,196.0,197.0,162.0,150.0,191.0,104.0,183.0,161.0,184.0,52.0,-31.0,-30.0,90.0,145.0,-69.0,-58.0,122.0,-161.0
4 Western, Loddon,-17.0,-11.0,-5.0,18.0,27.0,-51.0,6.0,-11.0,-29.0,2.0,-69.0,-27.0,76.0,69.0,-87.0,95.0,-17.0,21.0
4 Western, Macedon Ranges,911.0,801.0,876.0,902.0,1107.0,942.0,965.0,843.0,741.0,152.0,70.0,86.0,43.0,128.0,-46.0,60.0,84.0,174.0
4 Western, Greater Geelong,3315.0,4205.0,4387.0,5182.0,6603.0,6199.0,6501.0,6709.0,5928.0,955.0,104.0,1518.0,380.0,3177.0,-1512.0,-1103.0,481.0,111.0
4 Western, Greater Bendigo,1910.0,2052.0,1998.0,1953.0,2359.0,1824.0,1950.0,2050.0,1889.0,599.0,405.0,130.0,166.0,1584.0,-733.0,534.0,705.0,-318.0
4 Western, Golden Plains,646.0,758.0,537.0,489.0,628.0,552.0,550.0,604.0,527.0,80.0,26.0,65.0,76.0,103.0,-147.0,10.0,-24.0,-37.0
4 Western, Glenelg,-23.0,-28.0,-42.0,-33.0,37.0,-67.0,-28.0,7.0,-50.0,-142.0,91.0,216.0,-173.0,147.0,-131.0,-213.0,51.0,3.0
4 Western, Mildura,653.0,681.0,581.0,419.0,502.0,484.0,374.0,263.0,158.0,117.0,-60.0,124.0,21.0,411.0,-287.0,743.0,6.0,-886.0
4 Western, Gannawarra,45.0,28.0,8.0,2.0,31.0,2.0,-23.0,-77.0,-69.0,-21.0,-10.0,14.0,29.0,35.0,-47.0,75.0,111.0,55.0
4 Western, Corangamite,-56.0,-60.0,-70.0,-66.0,-31.0,-33.0,-71.0,-122.0,-88.0,21.0,-87.0,18.0,33.0,226.0,-24.0,-170.0,-15.0,127.0
4 Western, Moorabool,693.0,1047.0,656.0,682.0,924.0,770.0,714.0,895.0,962.0,258.0,150.0,-47.0,147.0,403.0,-268.0,27.0,-167.0,453.0
4 Western, Colac-Otway,103.0,133.0,96.0,99.0,132.0,68.0,72.0,60.0,100.0,93.0,-162.0,79.0,93.0,252.0,-64.0,-112.0,18.0,77.0
4 Western, Mount Alexander,181.0,194.0,254.0,293.0,303.0,200.0,217.0,237.0,250.0,-92.0,-10.0,47.0,49.0,231.0,-184.0,-76.0,220.0,-148.0
4 Western, Moyne,137.0,127.0,81.0,79.0,146.0,56.0,94.0,65.0,75.0,96.0,-102.0,35.0,-63.0,84.0,-26.0,-37.0,78.0,29.0
4 Western, Horsham,85.0,86.0,54.0,44.0,92.0,1.0,-11.0,46.0,98.0,185.0,-69.0,230.0,396.0,-93.0,-305.0,0.0,-255.0,164.0
4 Western, Pyrenees,101.0,78.0,109.0,132.0,137.0,42.0,-5.0,117.0,85.0,39.0,68.0,30.0,9.0,36.0,-34.0,-17.0,71.0,-40.0
4 Western, Yarriambiack,-88.0,-63.0,-108.0,-98.0,-83.0,-59.0,-26.0,-21.0,-49.0,-11.0,-59.0,-26.0,126.0,15.0,25.0,-20.0,-37.0,67.0
