LGA,CR,Pop,2011,2012,2013,2015,2016,2017,2018,2019,2020
 Maroondah,"5,497",109781.0,0,0,1,0,0,0,0,0,0
 Melbourne,"24,624",118711.0,0,0,1,0,0,0,0,0,0
 Melton,"6,828",123936.0,0,0,1,0,0,0,0,0,0
 Mildura,"4,535",53156.0,0,0,1,0,0,0,0,0,0
 Mitchell,"1,991",37788.0,0,0,1,0,0,0,0,0,0
 Moira,"1,177",28905.0,0,0,1,0,0,0,0,0,0
 Monash,"6,825",183255.0,0,0,1,0,0,0,0,0,0
 Moonee Valley,"6,248",115464.0,0,0,1,0,0,0,0,0,0
 Moorabool,"1,502",30410.0,0,0,1,0,0,0,0,0,0
 Moreland,"9,243",160282.0,0,0,1,0,0,0,0,0,0
 Mornington Peninsula,"7,518",154001.0,0,0,1,0,0,0,0,0,0
 Mount Alexander,624,18247.0,0,0,1,0,0,0,0,0,0
 Moyne,435,16431.0,0,0,1,0,0,0,0,0,0
 Murrindindi,535,13563.0,0,0,1,0,0,0,0,0,0
 Nillumbik,"1,600",63174.0,0,0,1,0,0,0,0,0,0
 Northern Grampians,683,11880.0,0,0,1,0,0,0,0,0,0
 Port Phillip,"8,779",102156.0,0,0,1,0,0,0,0,0,0
 Pyrenees,316,6938.0,0,0,1,0,0,0,0,0,0
 Queenscliffe,73,3002.0,0,0,1,0,0,0,0,0,0
 South Gippsland,895,28273.0,0,0,1,0,0,0,0,0,0
 Southern Grampians,883,16355.0,0,0,1,0,0,0,0,0,0
 Stonnington,"7,443",103487.0,0,0,1,0,0,0,0,0,0
 Strathbogie,373,9867.0,0,0,1,0,0,0,0,0,0
 Surf Coast,983,28228.0,0,0,1,0,0,0,0,0,0
 Swan Hill,"1,437",21003.0,0,0,1,0,0,0,0,0,0
 Towong,213,5961.0,0,0,1,0,0,0,0,0,0
 Wangaratta,"1,679",27650.0,0,0,1,0,0,0,0,0,0
 Warrnambool,"1,910",33423.0,0,0,1,0,0,0,0,0,0
 Wellington,"2,798",42721.0,0,0,1,0,0,0,0,0,0
 West Wimmera,121,4124.0,0,0,1,0,0,0,0,0,0
 Whitehorse,"5,801",162081.0,0,0,1,0,0,0,0,0,0
 Whittlesea,"9,986",179272.0,0,0,1,0,0,0,0,0,0
 Wodonga,"2,235",37575.0,0,0,1,0,0,0,0,0,0
 Wyndham,"9,941",190211.0,0,0,1,0,0,0,0,0,0
 Yarra,"9,204",83962.0,0,0,1,0,0,0,0,0,0
 Yarra Ranges,"5,053",150902.0,0,0,1,0,0,0,0,0,0
 Yarriambiack,215,7032.0,0,0,1,0,0,0,0,0,0
 Alpine,357,12429.0,0,0,0,1,0,0,0,0,0
 Ararat,910,11644.0,0,0,0,1,0,0,0,0,0
 Ballarat,"8,730",101479.0,0,0,0,1,0,0,0,0,0
 Banyule,"6,857",126088.0,0,0,0,1,0,0,0,0,0
 Bass Coast,"1,929",32576.0,0,0,0,1,0,0,0,0,0
 Baw Baw,"2,490",47837.0,0,0,0,1,0,0,0,0,0
 Bayside,"3,643",101268.0,0,0,0,1,0,0,0,0,0
 Benalla,810,13923.0,0,0,0,1,0,0,0,0,0
 Boroondara,"5,897",174753.0,0,0,0,1,0,0,0,0,0
 Brimbank,"14,821",200860.0,0,0,0,1,0,0,0,0,0
 Buloke,178,6306.0,0,0,0,1,0,0,0,0,0
 Campaspe,"2,332",37429.0,0,0,0,1,0,0,0,0,0
 Cardinia,"4,679",92298.0,0,0,0,1,0,0,0,0,0
 Casey,"15,157",299528.0,0,0,0,1,0,0,0,0,0
 Central Goldfields,846,12950.0,0,0,0,1,0,0,0,0,0
 Colac-Otway,"1,193",21230.0,0,0,0,1,0,0,0,0,0
 Corangamite,507,16274.0,0,0,0,1,0,0,0,0,0
 Darebin,"11,474",151974.0,0,0,0,1,0,0,0,0,0
 East Gippsland,"3,147",44868.0,0,0,0,1,0,0,0,0,0
 Frankston,"10,925",137790.0,0,0,0,1,0,0,0,0,0
 Gannawarra,456,10536.0,0,0,0,1,0,0,0,0,0
 Glen Eira,"5,141",145924.0,0,0,0,1,0,0,0,0,0
 Glenelg,"1,227",19722.0,0,0,0,1,0,0,0,0,0
 Golden Plains,543,21388.0,0,0,0,1,0,0,0,0,0
 Greater Bendigo,"6,349",109908.0,0,0,0,1,0,0,0,0,0
 Greater Dandenong,"13,515",156061.0,0,0,0,1,0,0,0,0,0
 Greater Geelong,"15,451",232926.0,0,0,0,1,0,0,0,0,0
 Greater Shepparton,"5,498",64489.0,0,0,0,1,0,0,0,0,0
 Hepburn,584,15334.0,0,0,0,1,0,0,0,0,0
 Hindmarsh,162,5808.0,0,0,0,1,0,0,0,0,0
 Hobsons Bay,"5,358",91674.0,0,0,0,1,0,0,0,0,0
 Horsham,"1,973",19792.0,0,0,0,1,0,0,0,0,0
 Hume,"14,882",198176.0,0,0,0,1,0,0,0,0,0
 Indigo,380,15922.0,0,0,0,1,0,0,0,0,0
 Kingston,"8,065",156244.0,0,0,0,1,0,0,0,0,0
 Knox,"7,355",158700.0,0,0,0,1,0,0,0,0,0
 Latrobe,"9,019",74266.0,0,0,0,1,0,0,0,0,0
