index_crime,Police_Region,LGA_crime,2011_crime,2012_crime,2013_crime,2014_crime,2015_crime,2016_crime,2017_crime,2018_crime,2019_crime,2020_crime,index_population,LGA_population,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2018_population,2019_population,2020_population
66,4 Western, Hindmarsh,172,199,184,147,162,235,278,255,229,313,35,Hindmarsh (S),6496,6452.0,6361.0,6274.0,6189.0,6119.0,6080.0,6032.0,6025.0,5954.0,5856.0,5857.0,5852.0,5844.0,5808.0,5784.0,5718.0,5644.0,5586.0,5592.0
4,1 North West Metro, Hobsons Bay,"4,743","5,850","5,446","5,557","5,358","5,340","4,908","4,813","4,999","4,497",36,Hobsons Bay (C),82854,83124.0,83107.0,82668.0,82990.0,83906.0,84819.0,85513.0,86767.0,87192.0,87395.0,88339.0,89188.0,90417.0,91674.0,93445.0,95071.0,96481.0,97765.0,98189.0
67,4 Western, Horsham,"1,231","1,416","1,347","1,577","1,973","1,880","1,575","1,575","1,320","1,484",37,Horsham (RC),18305,18326.0,18340.0,18413.0,18584.0,18770.0,18917.0,19060.0,19243.0,19390.0,19523.0,19608.0,19694.0,19748.0,19792.0,19884.0,19885.0,19874.0,19920.0,20018.0
5,1 North West Metro, Hume,"11,012","11,988","12,030","13,223","14,882","17,663","15,048","15,544","15,879","16,216",38,Hume (C),135147,137854.0,140995.0,144546.0,149059.0,152797.0,157516.0,161863.0,166728.0,170952.0,174290.0,179202.0,184873.0,191278.0,198176.0,207041.0,215238.0,224423.0,233545.0,241188.0
23,2 Eastern, Indigo,370,383,355,329,380,319,377,342,434,446,39,Indigo (S),14493,14603.0,14710.0,14810.0,14919.0,15038.0,15047.0,15128.0,15223.0,15287.0,15317.0,15454.0,15605.0,15732.0,15922.0,16165.0,16333.0,16489.0,16699.0,16885.0
48,3 Southern Metro, Kingston,"6,709","7,481","7,329","7,172","8,065","8,656","7,696","8,532","8,921","8,640",40,Kingston (C) (Vic.),133063,134216.0,135191.0,136121.0,137091.0,138390.0,140487.0,142817.0,146050.0,147407.0,148304.0,150435.0,152336.0,154210.0,156244.0,158941.0,161051.0,163452.0,165804.0,167293.0
24,2 Eastern, Knox,"5,973","6,852","6,923","7,160","7,355","9,168","8,432","8,075","8,792","8,756",41,Knox (C),146525,147952.0,149038.0,149068.0,149362.0,150275.0,151343.0,152538.0,154122.0,154643.0,154625.0,155406.0,156347.0,157434.0,158700.0,160353.0,161827.0,163212.0,164553.0,165147.0
25,2 Eastern, Latrobe,"6,785","7,456","7,618","7,815","9,019","10,450","9,282","9,908","10,104","9,646",42,Latrobe (C) (Vic.),69573,69575.0,69633.0,69754.0,69939.0,70536.0,71045.0,71702.0,72306.0,73082.0,73788.0,74004.0,74124.0,74134.0,74266.0,74622.0,74908.0,75209.0,75553.0,75915.0
68,4 Western, Loddon,331,333,264,237,313,382,295,390,373,394,43,Loddon (S),8473,8390.0,8284.0,8125.0,8012.0,7922.0,7883.0,7812.0,7741.0,7653.0,7546.0,7529.0,7518.0,7513.0,7531.0,7558.0,7507.0,7513.0,7502.0,7473.0
69,4 Western, Macedon Ranges,"1,167","1,319","1,389","1,475","1,518","1,646","1,600","1,660","1,744","1,918",44,Macedon Ranges (S),37325,37605.0,37942.0,38509.0,38998.0,39383.0,39900.0,40584.0,41582.0,42223.0,42883.0,43794.0,44595.0,45471.0,46373.0,47480.0,48422.0,49387.0,50230.0,50971.0
26,2 Eastern, Manningham,"2,804","2,924","3,112","3,130","3,354","3,961","3,699","3,347","3,824","3,439",45,Manningham (C),113194,113422.0,113434.0,113308.0,113432.0,113914.0,114771.0,115539.0,116372.0,116656.0,116750.0,117440.0,118357.0,119437.0,120785.0,122570.0,124270.0,125535.0,127585.0,128929.0
27,2 Eastern, Mansfield,249,254,293,388,339,481,494,333,315,372,46,Mansfield (S),6718,6757.0,6807.0,6939.0,7124.0,7357.0,7465.0,7593.0,7754.0,7870.0,7942.0,8097.0,8276.0,8395.0,8530.0,8674.0,8796.0,8979.0,9175.0,9474.0
6,1 North West Metro, Maribyrnong,"6,981","7,475","6,956","6,576","6,909","7,190","6,466","6,938","6,909","7,342",47,Maribyrnong (C),60848,61557.0,62516.0,63168.0,64137.0,65518.0,67666.0,69902.0,71872.0,73613.0,75154.0,77179.0,79782.0,82463.0,84783.0,86942.0,89362.0,91413.0,93482.0,94982.0
28,2 Eastern, Maroondah,"4,779","5,219","5,497","5,872","5,792","6,768","6,300","5,913","5,996","5,777",48,Maroondah (C),99662,99999.0,100177.0,100476.0,101009.0,101430.0,102536.0,104034.0,106011.0,106677.0,107323.0,108434.0,109781.0,111421.0,113023.0,114800.0,116321.0,117505.0,118569.0,119401.0
7,1 North West Metro, Melbourne,"23,656","24,746","24,624","23,725","24,848","28,254","26,518","26,893","26,971","26,850",49,Melbourne (C),55398,60415.0,65954.0,71425.0,76034.0,80154.0,85366.0,89937.0,94247.0,97623.0,100240.0,107578.0,118711.0,127975.0,136872.0,146096.0,159141.0,170317.0,178994.0,183756.0
8,1 North West Metro, Melton,"6,065","6,926","6,828","7,530","8,376","9,066","8,049","8,053","9,080","10,113",50,Melton (C),52504,57724.0,63837.0,69145.0,74316.0,80595.0,86196.0,92552.0,99935.0,106848.0,112643.0,118329.0,123936.0,129309.0,134915.0,141420.0,148618.0,156718.0,164936.0,172500.0
70,4 Western, Mildura,"4,478","4,595","4,535","4,659","4,680","5,091","4,804","5,547","5,553","4,667",51,Mildura (RC),48865,49405.0,49534.0,49677.0,49981.0,50540.0,50855.0,51140.0,51373.0,51625.0,51822.0,52475.0,53156.0,53737.0,54156.0,54658.0,55142.0,55516.0,55779.0,55937.0
29,2 Eastern, Mitchell,"1,816","1,961","1,991","2,145","2,656","3,228","3,059","2,998","3,141","3,227",52,Mitchell (S),27526,28179.0,29158.0,29862.0,30492.0,30723.0,31529.0,32302.0,32897.0,33892.0,35105.0,36384.0,37788.0,39084.0,40264.0,41795.0,42903.0,44298.0,46087.0,47647.0
30,2 Eastern, Moira,"1,176","1,058","1,177","1,083","1,104","1,369","1,450","1,566","1,939","1,604",53,Moira (S),26404,26437.0,26583.0,26684.0,26969.0,27477.0,27703.0,27968.0,28140.0,28331.0,28406.0,28675.0,28905.0,29100.0,29288.0,29486.0,29652.0,29797.0,29920.0,30018.0
31,2 Eastern, Monash,"6,475","6,526","6,825","6,885","7,525","8,962","8,175","8,231","9,072","9,916",54,Monash (C),162135,162430.0,162824.0,163495.0,164949.0,167010.0,169145.0,171321.0,174398.0,175731.0,177345.0,180312.0,183255.0,186150.0,189174.0,192625.0,196922.0,200212.0,202896.0,204936.0
9,1 North West Metro, Moonee Valley,"6,029","6,962","6,248","6,446","6,957","7,741","6,668","6,684","6,476","6,463",55,Moonee Valley (C),104793,104856.0,104629.0,104632.0,105059.0,105717.0,106716.0,108417.0,110367.0,111363.0,112180.0,113673.0,115464.0,117763.0,120231.0,122871.0,125411.0,127906.0,130313.0,131753.0
71,4 Western, Moorabool,"1,094","1,352","1,502","1,455","1,602","2,005","1,737","1,764","1,597","2,050",56,Moorabool (S),24839,24943.0,25197.0,25378.0,25783.0,26077.0,26431.0,26813.0,27453.0,28047.0,28670.0,29363.0,30410.0,31066.0,31748.0,32672.0,33442.0,34156.0,35051.0,36013.0
10,1 North West Metro, Moreland,"8,895","9,813","9,243","10,295","11,167","12,121","10,525","11,611","10,845","10,829",57,Moreland (C),135540,136156.0,136630.0,137642.0,138963.0,140872.0,143694.0,146450.0,150114.0,152261.0,154247.0,156967.0,160282.0,164099.0,167870.0,172294.0,176974.0,181780.0,185811.0,188762.0
49,3 Southern Metro, Mornington Peninsula,"6,987","7,355","7,518","7,681","8,134","9,116","8,463","8,136","8,658","8,134",58,Mornington Peninsula (S),131574,133997.0,135620.0,136674.0,137759.0,139317.0,141740.0,144403.0,147002.0,148542.0,149271.0,151700.0,154001.0,156500.0,158831.0,161528.0,163834.0,165823.0,167619.0,168862.0
72,4 Western, Mount Alexander,726,634,624,671,720,951,767,691,911,763,59,Mount Alexander (S),16881,16968.0,17153.0,17180.0,17240.0,17304.0,17415.0,17585.0,17683.0,17806.0,17872.0,18053.0,18247.0,18501.0,18794.0,19097.0,19297.0,19514.0,19751.0,20001.0
73,4 Western, Moyne,441,537,435,470,407,491,465,428,506,535,60,Moyne (S),15525,15578.0,15605.0,15597.0,15635.0,15708.0,15744.0,15848.0,15976.0,16082.0,16167.0,16304.0,16431.0,16512.0,16591.0,16737.0,16793.0,16887.0,16952.0,17027.0
32,2 Eastern, Murrindindi,428,457,535,517,509,547,546,571,604,657,61,Murrindindi (S),13257,13349.0,13395.0,13381.0,13472.0,13663.0,13690.0,13748.0,13352.0,13318.0,13335.0,13456.0,13563.0,13687.0,13848.0,14052.0,14234.0,14478.0,14568.0,14661.0
11,1 North West Metro, Nillumbik,"1,458","1,454","1,600","1,585","1,941","2,264","1,845","1,645","1,655","1,632",62,Nillumbik (S),60444,60501.0,60452.0,60682.0,61102.0,61515.0,61858.0,62367.0,62785.0,62838.0,62716.0,62935.0,63174.0,63433.0,63675.0,64174.0,64618.0,64941.0,65099.0,65219.0
74,4 Western, Northern Grampians,787,654,683,697,811,936,842,764,764,836,63,Northern Grampians (S),12857,12793.0,12616.0,12460.0,12285.0,12095.0,12095.0,12087.0,12117.0,12113.0,12054.0,11970.0,11880.0,11777.0,11644.0,11570.0,11517.0,11430.0,11401.0,11403.0
50,3 Southern Metro, Port Phillip,"8,254","8,837","8,779","9,080","9,807","10,487","9,689","9,958","9,806","10,319",64,Port Phillip (C),80054,82220.0,84170.0,86017.0,87831.0,89641.0,91490.0,93174.0,95272.0,96375.0,97276.0,99893.0,102156.0,104451.0,106381.0,108627.0,110656.0,113265.0,115620.0,116476.0
75,4 Western, Pyrenees,209,248,316,346,355,391,357,340,411,371,65,Pyrenees (S),6541,6546.0,6551.0,6561.0,6603.0,6648.0,6650.0,6661.0,6721.0,6748.0,6759.0,6860.0,6938.0,7047.0,7179.0,7316.0,7358.0,7353.0,7470.0,7555.0
76,4 Western, Queenscliffe,92,111,73,102,154,124,126,101,105,100,66,Queenscliffe (B),3226,3196.0,3158.0,3119.0,3104.0,3086.0,3081.0,3077.0,3065.0,3059.0,3061.0,3057.0,3002.0,2970.0,2933.0,2929.0,2959.0,2982.0,2939.0,3008.0
33,2 Eastern, South Gippsland,857,935,895,901,907,"1,139","1,004","1,023","1,314","1,260",67,South Gippsland (S),25762,25786.0,25910.0,25957.0,26068.0,26128.0,26350.0,26556.0,26903.0,27173.0,27512.0,27926.0,28273.0,28521.0,28781.0,29122.0,29321.0,29575.0,29910.0,30248.0
77,4 Western, Southern Grampians,859,800,883,706,799,987,984,"1,111",945,833,68,Southern Grampians (S),16873,16862.0,16880.0,16854.0,16879.0,16858.0,16874.0,16869.0,16822.0,16705.0,16571.0,16461.0,16355.0,16255.0,16162.0,16123.0,16123.0,16134.0,16098.0,16134.0
51,3 Southern Metro, Stonnington,"6,806","7,291","7,443","7,158","7,776","9,177","7,895","8,338","9,054","9,077",69,Stonnington (C),89424,90370.0,91034.0,92061.0,92893.0,94056.0,95228.0,96841.0,98186.0,98728.0,98853.0,101410.0,103487.0,105894.0,108028.0,111003.0,113772.0,116281.0,117776.0,118614.0
34,2 Eastern, Strathbogie,347,379,373,340,359,479,438,440,447,483,70,Strathbogie (S),9558,9538.0,9564.0,9489.0,9455.0,9509.0,9538.0,9552.0,9564.0,9598.0,9598.0,9744.0,9867.0,10018.0,10175.0,10357.0,10484.0,10644.0,10778.0,10992.0
78,4 Western, Surf Coast,999,"1,175",983,982,"1,160","1,093",996,878,"1,003","1,200",71,Surf Coast (S),20556,21001.0,21292.0,21518.0,21819.0,22333.0,23135.0,24064.0,25052.0,25861.0,26666.0,27530.0,28228.0,28874.0,29625.0,30465.0,31347.0,32252.0,33457.0,34771.0
79,4 Western, Swan Hill,"1,333","1,381","1,437","1,629","1,615","1,735","1,773","1,781","1,872","1,819",72,Swan Hill (RC),21025,21065.0,21064.0,21009.0,20977.0,20950.0,20972.0,20976.0,21043.0,20982.0,20865.0,20971.0,21003.0,20940.0,20893.0,20896.0,20847.0,20760.0,20650.0,20534.0
35,2 Eastern, Towong,161,196,213,148,167,176,174,178,149,158,73,Towong (S),6216,6196.0,6148.0,6138.0,6105.0,6097.0,6060.0,6048.0,6050.0,6004.0,5918.0,5940.0,5961.0,5982.0,6005.0,6046.0,6039.0,6054.0,6039.0,6102.0
36,2 Eastern, Wangaratta,"1,690","1,737","1,679","1,689","1,629","1,811","1,780","1,740","1,764","1,652",74,Wangaratta (RC),26260,26341.0,26378.0,26464.0,26608.0,26776.0,26871.0,27005.0,27111.0,27200.0,27212.0,27438.0,27650.0,27862.0,28143.0,28592.0,28853.0,29086.0,29184.0,29197.0
80,4 Western, Warrnambool,"1,827","1,827","1,910","1,986","2,157","2,492","2,650","2,907","2,604","2,323",75,Warrnambool (C),29180,29658.0,29998.0,30266.0,30553.0,30959.0,31380.0,31696.0,32036.0,32370.0,32667.0,33059.0,33423.0,33729.0,34005.0,34242.0,34569.0,34863.0,35181.0,35533.0
37,2 Eastern, Wellington,"2,309","2,862","2,798","2,900","2,965","3,318","2,722","2,824","3,274","3,325",76,Wellington (S),40835,40671.0,40533.0,40481.0,40504.0,40682.0,40897.0,41174.0,41506.0,41803.0,42068.0,42445.0,42721.0,42948.0,43172.0,43530.0,43801.0,44017.0,44378.0,44770.0
81,4 Western, West Wimmera,100,133,121,99,103,108,126,128,130,132,77,West Wimmera (S),4808,4749.0,4707.0,4636.0,4583.0,4539.0,4488.0,4452.0,4427.0,4373.0,4287.0,4214.0,4124.0,4038.0,3974.0,3937.0,3894.0,3862.0,3839.0,3810.0
38,2 Eastern, Whitehorse,"5,212","5,583","5,801","5,700","5,781","6,354","6,513","6,251","7,272","7,223",78,Whitehorse (C),146178,146110.0,146036.0,146453.0,147344.0,149017.0,151180.0,153487.0,155959.0,157058.0,157538.0,159661.0,162081.0,164320.0,166679.0,169641.0,173263.0,176273.0,178779.0,180735.0
12,1 North West Metro, Whittlesea,"8,758","9,849","9,986","10,239","10,378","13,079","11,342","11,777","12,068","12,155",79,Whittlesea (C),117390,119629.0,122215.0,123736.0,125893.0,128491.0,132938.0,138446.0,145445.0,152709.0,160800.0,169993.0,179272.0,187899.0,196847.0,207058.0,215686.0,223347.0,230297.0,236539.0
39,2 Eastern, Wodonga,"2,383","2,603","2,235","2,431","2,617","2,496","2,423","2,385","2,793","2,588",80,Wodonga (C),31964,32481.0,32995.0,33528.0,33597.0,33595.0,33837.0,34157.0,34654.0,35287.0,36025.0,36758.0,37575.0,38369.0,39223.0,40100.0,40812.0,41429.0,42083.0,42662.0
13,1 North West Metro, Wyndham,"9,639","11,066","9,941","10,157","11,322","12,370","10,855","11,290","13,220","13,246",81,Wyndham (C),86604,90333.0,95776.0,101789.0,108795.0,115161.0,123778.0,133063.0,143405.0,155251.0,166699.0,179131.0,190211.0,201512.0,213815.0,227008.0,241071.0,255367.0,270607.0,283294.0
14,1 North West Metro, Yarra,"8,718","9,199","9,204","9,958","10,051","11,293","10,562","11,314","11,074","11,403",82,Yarra (C),68522,69415.0,70115.0,70811.0,71719.0,72808.0,74289.0,75868.0,77311.0,78430.0,78903.0,81268.0,83962.0,87228.0,89923.0,92894.0,95994.0,98567.0,101516.0,103125.0
40,2 Eastern, Yarra Ranges,"4,782","5,216","5,053","5,353","5,442","6,453","5,720","5,541","6,163","6,370",83,Yarra Ranges (S),141674,142449.0,142928.0,142827.0,142928.0,143393.0,144485.0,145884.0,147663.0,148473.0,148901.0,149864.0,150902.0,151968.0,153391.0,155226.0,156869.0,158171.0,159474.0,159955.0
82,4 Western, Yarriambiack,285,274,215,189,315,330,355,335,298,365,84,Yarriambiack (S),8184,8095.0,7982.0,7847.0,7715.0,7609.0,7505.0,7438.0,7412.0,7312.0,7183.0,7095.0,7032.0,6924.0,6826.0,6743.0,6684.0,6658.0,6637.0,6588.0
